way_id,highway,name,oneway,maxspeed_raw,refs
22848028,residential,Sewri Cemetery Road,,,11064687502|245659097|14017255667|14017255662|245659145|2216352716|10923342778|10923342779|10923342780|10923342782|10923342781|13978699963|245659170
22848039,residential,Sewri Cross Road,,,7374507900|13672136779|13672136778|528873053|528873051|13672136785|13672136786|13672136788|13672136787|245659969|13672136791|245659940|13672136789|13672136790|245659912|12069488860|9903050563|245659801|245659713|9867855179|11068212422|245659576|2216353389|9936195014|14019163149|9936195013|245659412|245659330
22848040,residential,,,,245659049|6497342993|2216352655|700886351|14017292037|14017292041|245659060
22848063,residential,Sriram Tekdi Road,,,245659017|245659088|700886124|9865050837|700886371|700886302|6569239964|700886169|7205751005|245659241
22848073,residential,Sewri Koliwada Road,,,1650707622|11068256355|245659269|7324659538|7324659537|528878701|245659294|245659349|245659364
22848080,residential,Parel Bhowada Street,,,245659905|245659954
22848092,residential,,,,245659078|2216352682|245659097|14017287770|700886390|14017287765|245659125
22848097,tertiary,Tokersee Jivraj Road,yes,,245659328|11273946790|245659329|245659346|245659355
22848099,tertiary,Tokersee Jivraj Road,yes,,7735948667|245659328
22848102,tertiary,Tokersee Jivraj Road,,,700851641|2216533683|245658708|700886081|245658717|245658733|6573853127|245658758|14017577530|14017577535|13015167958|11046255380|245658892|8893036677|5907931717|700886112|3215371729|2216352584|700886232|14014346793|245659017|3568967601|12298861198|245659125|6571989879|3568967596|1281383960|13986227307
22848105,residential,Sakharam Lanjekar Path (Golanji Hill Road),,,245659328|245659327|245659316|2247988070|2247988075|2247988078|2247988077|2247988073|245659315|245659345|245659382
22848112,residential,M G Vasahat Marg,,,245659657|10957047988|1342458255|1342458333|245659705|14014367094|1342458324|14014367093|6926204927|14014367097|14014367095|245659741
22848119,residential,Eknath Ghadi Marg,,,245659541|7389099492|1342458267|245659531|245659522|11025617364|7389099491|7389099490|245659523|2247988080|1342458354
22848120,secondary,Jerbai Wadia Marg,,,10282040406|11927594954|11927594953|11927594952|6926204922|14074284326|245659741|14074284332|14014367086|14014367088|14014367087|5908533398|245659711|10923302796|245659712|6808642627
22848125,secondary,Jagannath Bhatnagar Road,yes,,6929407484|9175044693|471942852
22848153,residential,V V D Buva Road,,,245659867|245659954|1287692155|1287692015|245660063|1287692212|245660184
22848156,residential,Jyotiba Phule Marg,,,245660007|245660116|245660257
22848157,residential,Marg No 2,yes,,245660858|245660757
22848161,residential,Parsi Colony Road No 4,,,245660610|245660636|245660694|245660777
22848163,residential,Road No 37,,,245660320|7374384433|13661562628
22848172,residential,Balaram Khedekar Marg,,,245660296|13658722647|6494965501|245660418|14019241580|7371979030|1655883838|1655883865|1655884022|245660552|245660626|1281214249|8898483049
22848174,residential,Jain Derasar Road,,,245660542|13661562669|245660602|4362366644|245660655|245660734
22848175,residential,P Pednekar Marg,,,245660031|1287692034|1287692172|245660144
22848180,residential,Road No 19,,,245660655|245660707|4362366641|4362366636
22848191,residential,Road No 5,,,245660315|13671655117|245660348
